Job ID,Agency,Posting Type,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Posting Date
351539,DEPT OF ENVIRONMENT PROTECTION,External,Assistant Environmental Engineer,ASSISTANT ENVIRONMENTAL ENGINE,20617,0,"Engineering, Architecture, & Planning",F,53134,61104,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,,,,2018-07-12T00:00:00.000
351724,HRA/DEPT OF SOCIAL SERVICES,Internal,THE LAND USE ANALYST,STAFF ANALYST,12626,2,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement Social Services",F,58152,66875,Annual,"250 Church St., N.Y.",General Support Services-NM,,,,2018-07-11T00:00:00.000
351735,DEPARTMENT OF TRANSPORTATION,Internal,Civil Engineer 1,CIVIL ENGINEER,20215,1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,55 Water St Ny Ny,Engineering Review & Support,,,,2018-07-20T00:00:00.000
351735,DEPARTMENT OF TRANSPORTATION,External,Civil Engineer 1,CIVIL ENGINEER,20215,1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,55 Water St Ny Ny,Engineering Review & Support,,,,2018-07-20T00:00:00.000
351787,NYC HOUSING AUTHORITY,Internal,Chief of Commercial Litigation,EXECUTIVE AGENCY COUNSEL,95005,M2,Legal Affairs,F,90000,109000,Annual,Law Dept-Civil Litigation,Law Department,,,,2018-08-20T00:00:00.000
351787,NYC HOUSING AUTHORITY,External,Chief of Commercial Litigation,EXECUTIVE AGENCY COUNSEL,95005,M2,Legal Affairs,F,90000,109000,Annual,Law Dept-Civil Litigation,Law Department,,,,2018-08-20T00:00:00.000
352087,NYC EMPLOYEES RETIREMENT SYS,Internal,ASSOCIATE STAFF ANALYST,ASSOCIATE STAFF ANALYST,12627,0,Administration & Human Resources,F,65731,80000,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,,,,2018-07-13T00:00:00.000
352087,NYC EMPLOYEES RETIREMENT SYS,External,ASSOCIATE STAFF ANALYST,ASSOCIATE STAFF ANALYST,12627,0,Administration & Human Resources,F,65731,80000,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,,,,2018-07-13T00:00:00.000
352202,DEPT OF INFO TECH & TELECOMM,Internal,Hardware Engineer (MAINFRAME),COMPUTER SPECIALIST (SOFTWARE),13632,2,"Technology, Data & Innovation",,79471,100309,Annual,2 Metro Tech,Public Safety IT Services,,,,2018-07-12T00:00:00.000
352312,LAW DEPARTMENT,External,Appraiser,APPRAISER (REAL ESTATE),40410,3,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,68509,93151,Annual,"100 Church St., N.Y.",Tax & Bankruptcy LIT Div (FT),,,,2018-07-13T00:00:00.000
352312,LAW DEPARTMENT,Internal,Appraiser,APPRAISER (REAL ESTATE),40410,3,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,68509,93151,Annual,"100 Church St., N.Y.",Tax & Bankruptcy LIT Div (FT),,,,2018-07-13T00:00:00.000
352367,DEPT OF HEALTH/MENTAL HYGIENE,External,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",ECONOMIST,40910,1,"Finance, Accounting, & Procurement",F,42288,59400,Annual,"125 Worth Street, Nyc",Budget Administration,,,,2018-07-16T00:00:00.000
352367,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",ECONOMIST,40910,1,"Finance, Accounting, & Procurement",F,42288,59400,Annual,"125 Worth Street, Nyc",Budget Administration,,,,2018-07-16T00:00:00.000
352455,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Sexuality Coordinator, Bureau of Maternal Infant and Reproductive Health",COMMUNITY COORDINATOR,56058,0,Health,F,50362,70200,Annual,42-09 28th Street,"Maternal, Infant, & Repr. Hlth",,,,2018-07-17T00:00:00.000
352455,DEPT OF HEALTH/MENTAL HYGIENE,External,"Sexuality Coordinator, Bureau of Maternal Infant and Reproductive Health",COMMUNITY COORDINATOR,56058,0,Health,F,50362,70200,Annual,42-09 28th Street,"Maternal, Infant, & Repr. Hlth",,,,2018-07-17T00:00:00.000
352793,FINANCIAL INFO SVCS AGENCY,Internal,FMS ARCHITECT/DEVELOPER,COMPUTER SYSTEMS MANAGER,10050,M1,"Technology, Data & Innovation",F,105000,115000,Annual,5 Manhattan West,OPS/FS/Technical Systems,,,,2018-07-13T00:00:00.000
352793,FINANCIAL INFO SVCS AGENCY,External,FMS ARCHITECT/DEVELOPER,COMPUTER SYSTEMS MANAGER,10050,M1,"Technology, Data & Innovation",F,105000,115000,Annual,5 Manhattan West,OPS/FS/Technical Systems,,,,2018-07-13T00:00:00.000
354199,DEPT OF ENVIRONMENT PROTECTION,External,Network Support Engineer,TELECOMMUNICATIONS ASSOCIATE (,20246,4,"Technology, Data & Innovation",F,67643,105581,Annual,59-17 Junction Blvd Corona Ny,WEC/Central Office CIS,,,,2018-08-03T00:00:00.000
354199,DEPT OF ENVIRONMENT PROTECTION,Internal,Network Support Engineer,TELECOMMUNICATIONS ASSOCIATE (,20246,4,"Technology, Data & Innovation",F,67643,105581,Annual,59-17 Junction Blvd Corona Ny,WEC/Central Office CIS,,,,2018-08-03T00:00:00.000
354234,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Stationary Engineer,STATIONARY ENGINEER,91644,0,Building Operations & Maintenance,F,60.84,60.84,Hourly,421 East 26th Street NY NY,OCME-Admin,,,,2018-07-17T00:00:00.000
354235,DEPT OF ENVIRONMENT PROTECTION,Internal,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,57720,61104,Annual,96-05 Horace Harding Expway,Rev Construction Compliance,,,,2018-07-20T00:00:00.000
354235,DEPT OF ENVIRONMENT PROTECTION,External,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,57720,61104,Annual,96-05 Horace Harding Expway,Rev Construction Compliance,,,,2018-07-20T00:00:00.000
354347,DEPT OF CITYWIDE ADMIN SVCS,External,Architect,ARCHITECT,21215,2,"Engineering, Architecture, & Planning",F,74990,100000,Annual,"1 Centre St., N.Y.",Real Est/Portfolio Plng & Mgmt,,,,2018-10-11T00:00:00.000
354347,DEPT OF CITYWIDE ADMIN SVCS,Internal,Architect,ARCHITECT,21215,2,"Engineering, Architecture, & Planning",F,74990,100000,Annual,"1 Centre St., N.Y.",Real Est/Portfolio Plng & Mgmt,,,,2018-10-11T00:00:00.000
354371,OFFICE OF THE COMPTROLLER,External,Labor Relations Associate,LABOR RELATIONS ANALYST,13368,2,Administration & Human Resources,F,62828,75000,Annual,"1 Centre St., N.Y.",Administration,,,,2018-07-17T00:00:00.000
354371,OFFICE OF THE COMPTROLLER,Internal,Labor Relations Associate,LABOR RELATIONS ANALYST,13368,2,Administration & Human Resources,F,62828,75000,Annual,"1 Centre St., N.Y.",Administration,,,,2018-07-17T00:00:00.000
354439,DEPT OF ENVIRONMENT PROTECTION,Internal,ASSISTANT PROJECT MANAGER,ASSISTANT ENVIRONMENTAL ENGINE,20617,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec,,,,2018-07-30T00:00:00.000
354439,DEPT OF ENVIRONMENT PROTECTION,External,ASSISTANT PROJECT MANAGER,ASSISTANT ENVIRONMENTAL ENGINE,20617,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec,,,,2018-07-30T00:00:00.000
354562,DEPT OF ENVIRONMENT PROTECTION,External,Energy Policy Analyst,COMMUNITY COORDINATOR,56058,0,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,50362,78177,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty,,,,2018-07-30T00:00:00.000
354562,DEPT OF ENVIRONMENT PROTECTION,Internal,Energy Policy Analyst,COMMUNITY COORDINATOR,56058,0,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,50362,78177,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty,,,,2018-07-30T00:00:00.000
354588,DEPT OF ENVIRONMENT PROTECTION,External,Director of Marketing,ADMINISTRATIVE PUBLIC INFORMAT,10033,M1,Communications & Intergovernmental Affairs,F,54643,130000,Annual,59-17 Junction Blvd Corona Ny,BCIA/BWS,,,,2018-07-30T00:00:00.000
354588,DEPT OF ENVIRONMENT PROTECTION,Internal,Director of Marketing,ADMINISTRATIVE PUBLIC INFORMAT,10033,M1,Communications & Intergovernmental Affairs,F,54643,130000,Annual,59-17 Junction Blvd Corona Ny,BCIA/BWS,,,,2018-07-30T00:00:00.000
354637,DEPT OF ENVIRONMENT PROTECTION,External,Engineering Technician I,ENGINEERING TECHNICIAN,20113,1,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,96-05 Horace Harding Expway,Div of Field Op/Quality Assur,,,,2018-07-20T00:00:00.000
354637,DEPT OF ENVIRONMENT PROTECTION,Internal,Engineering Technician I,ENGINEERING TECHNICIAN,20113,1,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,96-05 Horace Harding Expway,Div of Field Op/Quality Assur,,,,2018-07-20T00:00:00.000
354675,DEPT OF INFO TECH & TELECOMM,Internal,PSAC Facility Operations Manager,COMPUTER SPECIALIST (SOFTWARE),13632,4,"Technology, Data & Innovation",F,92065,115000,Annual,2 Metro Tech,Financial Services,,,,2018-07-20T00:00:00.000
354733,LAW DEPARTMENT,Internal,Clerical Associate,CLERICAL ASSOCIATE,10251,3,"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis",F,33875,54879,Annual,"100 Church St., N.Y.",Family Court: New York,,,,2018-08-02T00:00:00.000
354797,DEPT OF ENVIRONMENT PROTECTION,Internal,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation,,,,2018-07-20T00:00:00.000
354797,DEPT OF ENVIRONMENT PROTECTION,External,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation,,,,2018-07-20T00:00:00.000
355186,DEPARTMENT OF BUSINESS SERV.,Internal,.NET DEVELOPER,CERT IT DEVELOPER (APP),13643,3,"Technology, Data & Innovation",F,85823,120000,Annual,110 William St. N Y,Technology,,,,2018-07-26T00:00:00.000
355186,DEPARTMENT OF BUSINESS SERV.,External,.NET DEVELOPER,CERT IT DEVELOPER (APP),13643,3,"Technology, Data & Innovation",F,85823,120000,Annual,110 William St. N Y,Technology,,,,2018-07-26T00:00:00.000
355332,DEPT OF DESIGN & CONSTRUCTION,External,EEO / Accessibility Coordinator,COMMUNITY COORDINATOR,56058,0,"Legal Affairs Policy, Research & Analysis",F,50362,78177,Annual,30-30 Thomson Ave L I City Qns,EEO,,,,2018-07-27T00:00:00.000
355332,DEPT OF DESIGN & CONSTRUCTION,Internal,EEO / Accessibility Coordinator,COMMUNITY COORDINATOR,56058,0,"Legal Affairs Policy, Research & Analysis",F,50362,78177,Annual,30-30 Thomson Ave L I City Qns,EEO,,,,2018-07-27T00:00:00.000
355382,OFFICE OF THE COMPTROLLER,External,Auditor - Labor Law,ACCOUNTANT,40510,1,"Finance, Accounting, & Procurement Public Safety, Inspections, & Enforcement",F,46747,53759,Annual,"1 Centre St., N.Y.",Labor Law,,,,2018-12-12T00:00:00.000
355382,OFFICE OF THE COMPTROLLER,Internal,Auditor - Labor Law,ACCOUNTANT,40510,1,"Finance, Accounting, & Procurement Public Safety, Inspections, & Enforcement",F,46747,53759,Annual,"1 Centre St., N.Y.",Labor Law,,,,2018-12-12T00:00:00.000
355402,DEPT OF YOUTH & COMM DEV SRVS,External,Program Manager,ASSOCIATE CONTRACT SPECIALIST,40562,0,Constituent Services & Community Programs,F,56033,84435,Annual,"2 Lafayette St., N.Y.",SONYC,,,,2018-08-17T00:00:00.000
355402,DEPT OF YOUTH & COMM DEV SRVS,Internal,Program Manager,ASSOCIATE CONTRACT SPECIALIST,40562,0,Constituent Services & Community Programs,F,56033,84435,Annual,"2 Lafayette St., N.Y.",SONYC,,,,2018-08-17T00:00:00.000
355490,NYC EMPLOYEES RETIREMENT SYS,External,CERTIFIED IT DEVELOPER (APPLICATIONS),CERT IT DEVELOPER (APP),13643,3,"Technology, Data & Innovation",F,85823,121363,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,,,,2018-07-26T00:00:00.000
355490,NYC EMPLOYEES RETIREMENT SYS,Internal,CERTIFIED IT DEVELOPER (APPLICATIONS),CERT IT DEVELOPER (APP),13643,3,"Technology, Data & Innovation",F,85823,121363,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,,,,2018-07-26T00:00:00.000
355633,DEPT OF ENVIRONMENT PROTECTION,External,Senior Policy Advisor,ADMINISTRATIVE REAL PROPERTY M,10047,M1,"Communications & Intergovernmental Affairs Building Operations & Maintenance Policy, Research & Analysis",F,54643,95000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty,,,,2018-07-30T00:00:00.000
355633,DEPT OF ENVIRONMENT PROTECTION,Internal,Senior Policy Advisor,ADMINISTRATIVE REAL PROPERTY M,10047,M1,"Communications & Intergovernmental Affairs Building Operations & Maintenance Policy, Research & Analysis",F,54643,95000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty,,,,2018-07-30T00:00:00.000
355649,DEPT OF ENVIRONMENT PROTECTION,External,Financial Auditor,ACCOUNTANT,40510,2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,52143,65000,Annual,59-17 Junction Blvd Corona Ny,Administration/Revenue Cla,,,,2018-08-03T00:00:00.000
355649,DEPT OF ENVIRONMENT PROTECTION,Internal,Financial Auditor,ACCOUNTANT,40510,2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,52143,65000,Annual,59-17 Junction Blvd Corona Ny,Administration/Revenue Cla,,,,2018-08-03T00:00:00.000
355715,DEPT OF INFO TECH & TELECOMM,Internal,Senior Systems Engineer (Citrix),COMPUTER SPECIALIST (SOFTWARE),13632,3,"Technology, Data & Innovation",,85823,103000,Annual,2 Metro Tech,Public Safety IT Services,,,,2018-08-01T00:00:00.000
355730,DEPARTMENT OF TRANSPORTATION,External,Civil Engineer 2,CIVIL ENGINEER,20215,2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Bridges Roadways,,,,2018-08-08T00:00:00.000
355730,DEPARTMENT OF TRANSPORTATION,Internal,Civil Engineer 2,CIVIL ENGINEER,20215,2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Bridges Roadways,,,,2018-08-08T00:00:00.000
355745,DEPARTMENT OF TRANSPORTATION,External,Civil Engineer 3,CIVIL ENGINEER,20215,3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Bridges Roadways,,,,2018-08-08T00:00:00.000
355745,DEPARTMENT OF TRANSPORTATION,Internal,Civil Engineer 3,CIVIL ENGINEER,20215,3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Bridges Roadways,,,,2018-08-08T00:00:00.000
355813,DEPT OF HEALTH/MENTAL HYGIENE,External,"Early Intervention Official Designee, Bureau of Early Intervention",SR HEALTHCARE PROG PLAN ANLYST,83052,1,Health,F,52712,61560,Annual,1309 Fulton Ave Bronx,Early Intervention,,,,2018-07-30T00:00:00.000
355813,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Early Intervention Official Designee, Bureau of Early Intervention",SR HEALTHCARE PROG PLAN ANLYST,83052,1,Health,F,52712,61560,Annual,1309 Fulton Ave Bronx,Early Intervention,,,,2018-07-30T00:00:00.000
355851,DEPT OF ENVIRONMENT PROTECTION,Internal,Civil Engineering Intern,CIVIL ENGINEERING INTERN,20202,0,"Engineering, Architecture, & Planning",F,47860,52000,Annual,96-05 Horace Harding Expway,Blue Belt Unit,,,,2018-08-03T00:00:00.000
355851,DEPT OF ENVIRONMENT PROTECTION,External,Civil Engineering Intern,CIVIL ENGINEERING INTERN,20202,0,"Engineering, Architecture, & Planning",F,47860,52000,Annual,96-05 Horace Harding Expway,Blue Belt Unit,,,,2018-08-03T00:00:00.000
355854,DEPT OF ENVIRONMENT PROTECTION,Internal,Environmental Engineering Intern,ENVIRONMENTAL ENGINEERING INTE,20616,0,"Engineering, Architecture, & Planning",F,47860,52000,Annual,96-05 Horace Harding Expway,Rev Construction Compliance,,,,2018-08-02T00:00:00.000
355854,DEPT OF ENVIRONMENT PROTECTION,External,Environmental Engineering Intern,ENVIRONMENTAL ENGINEERING INTE,20616,0,"Engineering, Architecture, & Planning",F,47860,52000,Annual,96-05 Horace Harding Expway,Rev Construction Compliance,,,,2018-08-02T00:00:00.000
356074,DEPT OF DESIGN & CONSTRUCTION,Internal,AutoCAD / BIM Support Specialist,PROJECT MANAGER INTERN#,22425,0,"Technology, Data & Innovation",F,47974,55170,Annual,30-30 Thomson Ave L I City Qns,Prog Mgmt/Sm/Its-Application,,,,2018-10-11T00:00:00.000
356074,DEPT OF DESIGN & CONSTRUCTION,External,AutoCAD / BIM Support Specialist,PROJECT MANAGER INTERN#,22425,0,"Technology, Data & Innovation",F,47974,55170,Annual,30-30 Thomson Ave L I City Qns,Prog Mgmt/Sm/Its-Application,,,,2018-10-11T00:00:00.000
356117,ADMIN FOR CHILDREN'S SVCS,Internal,Senior Analyst,ASSOCIATE STAFF ANALYST,12627,0,"Administration & Human Resources Policy, Research & Analysis",F,65731,80292,Annual,"150 William Street, New York N",Office Of Human Resources,,,,2018-12-31T00:00:00.000
356117,ADMIN FOR CHILDREN'S SVCS,External,Senior Analyst,ASSOCIATE STAFF ANALYST,12627,0,"Administration & Human Resources Policy, Research & Analysis",F,65731,80292,Annual,"150 William Street, New York N",Office Of Human Resources,,,,2018-12-31T00:00:00.000
356341,DEPT OF ENVIRONMENT PROTECTION,External,GIS Analyst,CITY RESEARCH SCIENTIST,21744,1,"Engineering, Architecture, & Planning",F,59708,65678,Annual,96-05 Horace Harding Expway,Blue Belt Unit,,,,2018-08-03T00:00:00.000
356341,DEPT OF ENVIRONMENT PROTECTION,Internal,GIS Analyst,CITY RESEARCH SCIENTIST,21744,1,"Engineering, Architecture, & Planning",F,59708,65678,Annual,96-05 Horace Harding Expway,Blue Belt Unit,,,,2018-08-03T00:00:00.000
356350,DEPT OF ENVIRONMENT PROTECTION,External,GIS Technician,ENGINEERING TECHNICIAN,20113,4,"Engineering, Architecture, & Planning",F,52194,60023,Annual,96-05 Horace Harding Expway,Blue Belt Unit,,,,2018-08-03T00:00:00.000
356350,DEPT OF ENVIRONMENT PROTECTION,Internal,GIS Technician,ENGINEERING TECHNICIAN,20113,4,"Engineering, Architecture, & Planning",F,52194,60023,Annual,96-05 Horace Harding Expway,Blue Belt Unit,,,,2018-08-03T00:00:00.000
356355,DEPT OF ENVIRONMENT PROTECTION,External,Engineering Technician I,ENGINEERING TECHNICIAN,20113,1,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,"1932 Arthur Ave, Bronx",Div of Field Op/Quality Assur,,,,2018-08-02T00:00:00.000
356355,DEPT OF ENVIRONMENT PROTECTION,Internal,Engineering Technician I,ENGINEERING TECHNICIAN,20113,1,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,"1932 Arthur Ave, Bronx",Div of Field Op/Quality Assur,,,,2018-08-02T00:00:00.000
356472,DEPT OF ENVIRONMENT PROTECTION,External,CPM Scheduler II,CONSTRUCTION PROJECT MANAGER,34202,3,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,67083,113725,Annual,96-05 Horace Harding Expway,Water Quality Unit,,,,2018-09-10T00:00:00.000
356472,DEPT OF ENVIRONMENT PROTECTION,Internal,CPM Scheduler II,CONSTRUCTION PROJECT MANAGER,34202,3,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,67083,113725,Annual,96-05 Horace Harding Expway,Water Quality Unit,,,,2018-09-10T00:00:00.000
356478,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Advisor, Connections to Care,  Bureau of Systems Strengthening and Access",CITY RESEARCH SCIENTIST,21744,2,"Health Policy, Research & Analysis",F,70286,88000,Annual,42-09 28th Street,Systems Strengthening Access,,,,2018-08-06T00:00:00.000
356478,DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Advisor, Connections to Care,  Bureau of Systems Strengthening and Access",CITY RESEARCH SCIENTIST,21744,2,"Health Policy, Research & Analysis",F,70286,88000,Annual,42-09 28th Street,Systems Strengthening Access,,,,2018-08-06T00:00:00.000
356491,DEPARTMENT OF BUSINESS SERV.,Internal,DATA AND OPERATIONS ANALYST,CONTRACT REVIEWER (OFFICE OF L,40563,1,Constituent Services & Community Programs,F,46818,62000,Annual,110 William St. N Y,Strategy & Analytics,,,,2018-08-02T00:00:00.000
356491,DEPARTMENT OF BUSINESS SERV.,External,DATA AND OPERATIONS ANALYST,CONTRACT REVIEWER (OFFICE OF L,40563,1,Constituent Services & Community Programs,F,46818,62000,Annual,110 William St. N Y,Strategy & Analytics,,,,2018-08-02T00:00:00.000
356566,DEPT OF DESIGN & CONSTRUCTION,Internal,Resident Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"40 Worth St., N.Y.",Infra-CM3 - Manhattan,,,,2018-08-23T00:00:00.000
356566,DEPT OF DESIGN & CONSTRUCTION,External,Resident Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"40 Worth St., N.Y.",Infra-CM3 - Manhattan,,,,2018-08-23T00:00:00.000
356624,DEPT. OF HOMELESS SERVICES,External,MECHINICAL ENGINEER RSRI,MECHANICAL ENGINEER,20415,1,Administration & Human Resources Social Services,F,63074,91347,Annual,"101-07 Farragut Road, Brooklyn",DHS FMD,,,,2019-02-13T00:00:00.000
356624,DEPT. OF HOMELESS SERVICES,Internal,MECHINICAL ENGINEER RSRI,MECHANICAL ENGINEER,20415,1,Administration & Human Resources Social Services,F,63074,91347,Annual,"101-07 Farragut Road, Brooklyn",DHS FMD,,,,2019-02-13T00:00:00.000
356682,DEPT OF DESIGN & CONSTRUCTION,Internal,Director,ADMINISTRATIVE PROJECT MANAGER,83008,M2,"Engineering, Architecture, & Planning",F,60435,161497,Annual,30-30 Thomson Ave L I City Qns,Infra-CM1-Bklyn,,,,2018-08-23T00:00:00.000
356703,DEPT OF ENVIRONMENT PROTECTION,External,Director of Marketing,ADMINISTRATIVE GRAPHIC ARTIST,10003,M1,Communications & Intergovernmental Affairs,F,54643,130000,Annual,59-17 Junction Blvd Corona Ny,BCIA/BWS,,,,2018-08-03T00:00:00.000
356703,DEPT OF ENVIRONMENT PROTECTION,Internal,Director of Marketing,ADMINISTRATIVE GRAPHIC ARTIST,10003,M1,Communications & Intergovernmental Affairs,F,54643,130000,Annual,59-17 Junction Blvd Corona Ny,BCIA/BWS,,,,2018-08-03T00:00:00.000
356713,DEPARTMENT OF TRANSPORTATION,External,Civil Engineer 2,CIVIL ENGINEER,20215,2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Engineering Review & Support,,,,2018-08-15T00:00:00.000
356713,DEPARTMENT OF TRANSPORTATION,Internal,Civil Engineer 2,CIVIL ENGINEER,20215,2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Engineering Review & Support,,,,2018-08-15T00:00:00.000
356742,DEPARTMENT OF TRANSPORTATION,Internal,Auto Mechanic,AUTO MECHANIC,92510,0,Building Operations & Maintenance,F,277.04,322.4,Daily,NYC - All Boroughs,RRM Fleet (Harper St),,,,2018-12-14T00:00:00.000
356742,DEPARTMENT OF TRANSPORTATION,External,Auto Mechanic,AUTO MECHANIC,92510,0,Building Operations & Maintenance,F,277.04,322.4,Daily,NYC - All Boroughs,RRM Fleet (Harper St),,,,2018-12-14T00:00:00.000
356797,NYC HOUSING AUTHORITY,External,PROGRAM MANAGER,COMMUNITY COORDINATOR,56058,0,Constituent Services & Community Programs,F,50362,78177,Annual,Resident Engagement,Resident Engagement Dept,,,,2018-09-11T00:00:00.000
356797,NYC HOUSING AUTHORITY,Internal,PROGRAM MANAGER,COMMUNITY COORDINATOR,56058,0,Constituent Services & Community Programs,F,50362,78177,Annual,Resident Engagement,Resident Engagement Dept,,,,2018-09-11T00:00:00.000
356822,DEPT OF HEALTH/MENTAL HYGIENE,External,"Field Research Associate, Bureau of Alcohol and Drug Use Prevention, Care, and Treatment",CITY RESEARCH SCIENTIST,21744,1,"Health Policy, Research & Analysis",F,59708,65678,Annual,42-09 28th Street,"Alcohol, Drug Prev & Treatment",,,,2018-08-03T00:00:00.000
356822,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Field Research Associate, Bureau of Alcohol and Drug Use Prevention, Care, and Treatment",CITY RESEARCH SCIENTIST,21744,1,"Health Policy, Research & Analysis",F,59708,65678,Annual,42-09 28th Street,"Alcohol, Drug Prev & Treatment",,,,2018-08-03T00:00:00.000
356840,HUMAN RIGHTS COMMISSION,External,Digital Communications Coordinator,COMMUNITY COORDINATOR,56058,0,Communications & Intergovernmental Affairs,F,60000,65000,Annual,"22 Reade St, Ny",Public Information,,,,2018-08-02T00:00:00.000
356840,HUMAN RIGHTS COMMISSION,Internal,Digital Communications Coordinator,COMMUNITY COORDINATOR,56058,0,Communications & Intergovernmental Affairs,F,60000,65000,Annual,"22 Reade St, Ny",Public Information,,,,2018-08-02T00:00:00.000
356978,DEPARTMENT OF TRANSPORTATION,Internal,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,55 Water St Ny Ny,Bridges Roadways,,,,2018-08-08T00:00:00.000
356978,DEPARTMENT OF TRANSPORTATION,External,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,20210,0,"Engineering, Architecture, & Planning",F,53134,79726,Annual,55 Water St Ny Ny,Bridges Roadways,,,,2018-08-08T00:00:00.000
357001,DEPT OF ENVIRONMENT PROTECTION,Internal,Chief of Procurement & Budget,ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,55590,150371,Annual,96-05 Horace Harding Expway,Capital Program Unit,,,,2018-08-07T00:00:00.000
357001,DEPT OF ENVIRONMENT PROTECTION,External,Chief of Procurement & Budget,ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,55590,150371,Annual,96-05 Horace Harding Expway,Capital Program Unit,,,,2018-08-07T00:00:00.000
357267,DEPT OF ENVIRONMENT PROTECTION,External,Quality Assurance Specialist,QUALITY ASSURANCE SPECIALIST (,34172,2,Building Operations & Maintenance,F,45144,64357,Annual,59-17 Junction Blvd Corona Ny,Motor Maintenance,,,,2018-08-10T00:00:00.000
357267,DEPT OF ENVIRONMENT PROTECTION,Internal,Quality Assurance Specialist,QUALITY ASSURANCE SPECIALIST (,34172,2,Building Operations & Maintenance,F,45144,64357,Annual,59-17 Junction Blvd Corona Ny,Motor Maintenance,,,,2018-08-10T00:00:00.000
357402,ADMIN FOR CHILDREN'S SVCS,Internal,Director of Community Engagement,ADMINISTRATIVE COMMUNITY RELAT,10022,M2,Communications & Intergovernmental Affairs,F,60435,110000,Annual,"150 William Street, New York N",Division of External Affairs,,,,2018-08-09T00:00:00.000
